season,bowler,wickets_in_szn,bowling_average,economy_rate_szn,rnk_in_szn
2008,"Sohail Tanvir",22,12.0455,6.2264,1
2008,"SK Warne",19,16.7895,7.6928,2
2008,"S Sreesanth",19,17.4737,8.1506,2
2008,"JA Morkel",17,18.2353,8.0129,4
2008,"PP Chawla",17,16.8235,8.3077,4
2008,"SR Watson",17,20.2353,6.8895,4
2008,"MS Gony",17,21.8235,7.3747,4
2008,"VY Mahesh",16,16.6250,8.5714,8
2008,"IK Pathan",15,22.4000,6.4464,9
2008,"RP Singh",15,21.6667,8.4738,9
2008,"MF Maharoof",15,15.0667,6.7699,9
2009,"RP Singh",23,16.6087,6.7539,1
2009,"A Kumble",21,17.0476,5.9162,2
2009,"A Nehra",19,17.1579,6.5153,3
2009,"SL Malinga",18,18.1111,6.1472,4
2009,"PP Ojha",18,18.1667,6.5872,4
2009,"IK Pathan",17,18.4706,7.6051,6
2009,"MM Patel",16,13.6250,6.7431,7
2009,"DP Nannes",15,21.3333,7.2000,8
2009,"PJ Sangwan",15,19.8000,7.5556,8
2009,"M Muralitharan",14,21.7143,5.2697,10
2009,"A Mishra",14,18.7143,6.8702,10
2009,"YA Abdulla",14,12.8571,8.1333,10
2009,"SK Warne",14,22.3571,7.0735,10
2010,"PP Ojha",21,17.1429,7.3167,1
2010,"Harbhajan Singh",17,19.6471,6.9162,2
2010,"A Mishra",17,19.3529,6.7660,2
2010,"A Kumble",17,22.8824,6.5090,2
2010,"M Muralitharan",16,19.1250,6.9804,5
2010,"R Vinay Kumar",16,17.7500,8.5352,5
2010,"SL Malinga",15,20.6667,6.9677,7
2010,"Z Khan",15,19.6667,7.8915,7
2010,"DW Steyn",15,25.4667,6.5183,7
2010,"KA Pollard",15,15.5333,7.1073,7
2010,"IK Pathan",15,19.3333,9.0000,7
2011,"SL Malinga",28,14.1786,5.9395,1
2011,"MM Patel",22,14.9545,6.8754,2
2011,"S Aravind",21,13.7143,7.8542,3
2011,"R Ashwin",20,19.2500,6.2026,4
2011,"A Mishra",19,17.0526,6.8333,5
2011,"DE Bollinger",17,17.2941,7.0000,6
2011,"PP Chawla",16,15.8125,8.0632,7
2011,"Iqbal Abdulla",16,19.0625,6.1574,7
2011,"RJ Harris",16,18.4375,8.1559,7
2011,"R Sharma",16,18.8750,5.5232,7
2012,"M Morkel",25,15.5600,7.1877,1
2012,"SP Narine",24,14.8750,5.5798,2
2012,"SL Malinga",22,15.9545,6.0684,3
2012,"UT Yadav",19,20.1579,7.1906,4
2012,"R Vinay Kumar",19,18.2105,8.4624,4
2012,"DW Steyn",18,16.0556,6.0208,6
2012,"Z Khan",17,21.7647,7.5892,7
2012,"P Awana",17,17.4118,7.7432,7
2012,"PP Chawla",16,21.6250,7.3699,9
2012,"KA Pollard",16,17.8750,7.3846,9
2013,"DJ Bravo",32,12.2500,7.7296,1
2013,"JP Faulkner",28,14.1071,6.6228,2
2013,"Harbhajan Singh",24,17.9167,6.5023,3
2013,"MG Johnson",24,16.7917,7.0124,3
2013,"R Vinay Kumar",23,16.3913,8.3077,5
2013,"SP Narine",22,17.5909,5.4729,6
2013,"A Mishra",21,17.9048,6.3032,7
2013,"SL Malinga",20,20.1000,7.2239,8
2013,"MM Sharma",20,15.5500,6.3087,8
2013,"DW Steyn",19,22.3684,5.7882,10
2013,"NLTC Perera",19,19.4211,7.9675,10
2013,"KK Cooper",19,17.9474,8.0235,10
2014,"MM Sharma",23,14.0870,8.4630,1
2014,"SP Narine",21,18.6667,6.6122,2
2014,"B Kumar",20,16.3500,6.6422,3
2014,"RA Jadeja",19,17.4737,8.0602,4
2014,"Sandeep Sharma",18,14.1667,8.4235,5
2014,"AR Patel",17,23.7059,6.3127,6
2014,"MG Johnson",17,20.0000,7.9412,6
2014,"SL Malinga",16,15.1875,6.5926,8
2014,"VR Aaron",16,14.8750,7.7899,8
2014,"R Ashwin",16,23.6875,7.0607,8
2015,"DJ Bravo",26,12.4615,8.1852,1
2015,"SL Malinga",24,15.7500,7.1905,2
2015,"YS Chahal",23,12.3043,8.8198,3
2015,"A Nehra",22,17.5000,7.0597,4
2015,"MA Starc",20,13.6000,6.7500,5
2015,"MJ McClenaghan",18,16.9444,7.7705,6
2015,"B Kumar",18,17.9444,7.7833,6
2015,"Harbhajan Singh",18,19.3889,7.7020,6
2015,"HV Patel",17,16.0000,7.4779,9
2015,"D Wiese",16,16.3750,8.2443,10
2016,"B Kumar",23,18.0000,7.2899,1
2016,"YS Chahal",21,14.6667,7.9675,2
2016,"SR Watson",20,18.0000,8.1667,3
2016,"DS Kulkarni",18,16.5000,7.3737,4
2016,"MJ McClenaghan",17,19.5294,8.1145,5
2016,"Mustafizur Rahman",17,22.1176,6.8138,5
2016,"DJ Bravo",17,20.4706,8.6552,5
2016,"JJ Bumrah",15,21.4667,7.6957,8
2016,"Sandeep Sharma",15,20.6000,7.2621,8
2016,"AD Russell",15,14.9333,8.0625,8
2017,"B Kumar",26,12.4615,7.1111,1
2017,"JD Unadkat",24,11.6250,7.0968,2
2017,"JJ Bumrah",20,18.6500,7.3190,3
2017,"MJ McClenaghan",19,18.1579,8.9043,4
2017,"Imran Tahir",18,15.8889,7.7622,5
2017,"UT Yadav",17,17.8824,8.5263,6
2017,"Sandeep Sharma",17,17.6471,8.0400,6
2017,"CR Woakes",17,16.3529,8.4820,6
2017,"Rashid Khan",17,19.2941,6.7317,6
2017,"P Negi",16,12.5000,6.0600,10
2017,"S Kaul",16,13.8125,8.2262,10
2018,"AJ Tye",24,14.7083,7.8017,1
2018,"Rashid Khan",21,19.5714,6.8029,2
2018,"S Kaul",21,19.1429,8.3284,2
2018,"UT Yadav",20,16.5500,7.6858,4
2018,"TA Boult",18,18.1667,8.7339,5
2018,"HH Pandya",18,15.0000,8.6889,5
2018,"JJ Bumrah",17,19.5882,6.9009,7
2018,"SP Narine",17,21.8235,7.6496,7
2018,"Kuldeep Yadav",17,18.3529,8.1346,7
2018,"SN Thakur",16,18.4375,8.8068,10
2019,"Imran Tahir",26,14.9231,6.8041,1
2019,"K Rabada",26,11.4615,7.6913,1
2019,"DL Chahar",22,18.1818,7.2900,3
2019,"JJ Bumrah",20,19.1000,6.8010,4
2019,"S Gopal",20,14.4500,7.2664,4
2019,"Mohammed Shami",19,17.4211,8.6465,6
2019,"KK Ahmed",19,11.6842,7.8919,6
2019,"YS Chahal",18,17.1111,7.6753,8
2019,"Rashid Khan",17,21.5882,6.4741,9
2019,"SL Malinga",16,17.5000,9.6857,10
2019,"Harbhajan Singh",16,16.8125,7.0260,10
2020,"K Rabada",32,12.9375,8.1884,1
2020,"JJ Bumrah",29,13.2414,6.8125,2
2020,"TA Boult",25,14.1600,8.0169,3
2020,"A Nortje",22,17.0909,8.4415,4
2020,"YS Chahal",21,16.5714,7.1379,5
2020,"Mohammed Shami",20,17.1000,8.4561,6
2020,"Rashid Khan",20,19.5500,5.4476,6
2020,"JC Archer",20,17.2500,6.4870,6
2020,"CV Varun",17,18.4118,6.8435,9
2020,"T Natarajan",16,24.3125,8.0206,10
2021,"HV Patel",32,11.2813,7.6620,1
2021,"Avesh Khan",24,15.9583,7.3003,2
2021,"JJ Bumrah",21,16.5238,7.2968,3
2021,"SN Thakur",21,18.4762,8.2113,3
2021,"Mohammed Shami",19,17.0000,7.4303,5
2021,"YS Chahal",18,17.9444,7.0774,6
2021,"Rashid Khan",18,19.3889,6.8424,6
2021,"CV Varun",18,23.1111,6.5769,6
2021,"Arshdeep Singh",18,14.6111,7.9392,6
2021,"SP Narine",16,21.5000,6.4360,10
2021,"JO Holder",16,12.6875,7.3300,10
2022,"YS Chahal",27,15.8889,7.4965,1
2022,"PWH de Silva",26,13.3077,7.6127,2
2022,"K Rabada",23,13.1739,8.1980,3
2022,"Umran Malik",22,14.2273,8.7220,4
2022,"Kuldeep Yadav",21,14.5714,8.2353,5
2022,"Mohammed Shami",20,18.9000,7.7937,6
2022,"JR Hazlewood",20,14.4500,7.8893,6
2022,"HV Patel",19,17.7895,7.4734,8
2022,"Rashid Khan",19,20.3158,6.6528,8
2022,"M Prasidh Krishna",19,22.7368,7.8333,8
