season,striker,batting_metric,balls_faced,szn_rnk
2008,"SE Marsh",9.25,440,1
2008,"ST Jayasuriya",7.62,308,2
2008,"G Gambhir",7.55,378,3
2008,"SR Watson",7.45,307,4
2008,"SK Raina",6.88,294,5
2009,"ML Hayden",9.42,393,1
2009,"AB de Villiers",8.00,354,2
2009,"AC Gilchrist",7.54,322,3
2009,"TM Dilshan",7.03,339,4
2009,"SK Raina",6.76,306,5
2010,"SR Tendulkar",8.70,463,1
2010,"JH Kallis",8.15,489,2
2010,"SK Raina",7.67,364,3
2010,"SC Ganguly",7.03,418,4
2010,"M Vijay",7.02,292,5
2011,"CH Gayle",9.76,331,1
2011,"V Kohli",7.78,459,2
2011,"SE Marsh",7.48,343,3
2011,"SR Tendulkar",7.43,488,4
2011,"S Badrinath",7.32,312,5
2012,"CH Gayle",9.61,451,1
2012,"G Gambhir",7.56,411,2
2012,"S Dhawan",7.35,438,3
2012,"AM Rahane",7.12,433,4
2012,"CL White",6.64,319,5
2013,"CH Gayle",9.61,454,1
2013,"MEK Hussey",9.01,565,2
2013,"V Kohli",8.21,454,3
2013,"SK Raina",7.56,364,4
2013,"SR Watson",7.17,378,5
2014,"RV Uthappa",7.51,478,1
2014,"GJ Maxwell",6.77,291,2
2014,"DA Warner",6.66,371,3
2014,"SK Raina",6.64,357,4
2014,"DR Smith",6.50,415,5
2015,"AB de Villiers",7.67,291,1
2015,"DA Warner",7.21,356,2
2015,"AM Rahane",6.93,412,3
2015,"LMP Simmons",6.57,438,4
2015,"CH Gayle",6.25,331,5
2016,"V Kohli",11.53,637,1
2016,"DA Warner",9.54,558,2
2016,"AB de Villiers",8.45,405,3
2016,"G Gambhir",6.27,411,4
2016,"RG Sharma",6.23,366,5
2017,"DA Warner",8.49,449,1
2017,"HM Amla",6.83,287,2
2017,"G Gambhir",6.34,389,3
2017,"S Dhawan",6.24,375,4
2017,"SPD Smith",6.24,387,5
2018,"KS Williamson",8.20,515,1
2018,"KL Rahul",7.99,415,2
2018,"RR Pant",7.92,394,3
2018,"AT Rayudu",7.06,401,4
2018,"JC Buttler",6.97,352,5
2019,"DA Warner",8.55,481,1
2019,"KL Rahul",7.58,437,2
2019,"AD Russell",7.41,249,3
2019,"MS Dhoni",6.79,305,4
2019,"JM Bairstow",6.67,281,5
2020,"KL Rahul",7.47,521,1
2020,"S Dhawan",7.14,425,2
2020,"Ishan Kishan",6.89,353,3
2020,"WP Saha",6.49,153,4
2020,"SA Yadav",6.48,330,5
2021,"KL Rahul",9.16,450,1
2021,"F du Plessis",8.24,456,2
2021,"RD Gaikwad",8.13,462,3
2021,"S Dhawan",7.49,471,4
2021,"GJ Maxwell",7.33,354,5
2022,"JC Buttler",9.91,574,1
2022,"KL Rahul",7.87,454,2
2022,"DA Miller",6.81,335,3
2022,"HH Pandya",6.58,370,4
2022,"DA Warner",6.29,285,5
