season,bowler,bowling_metric,balls_bowled,szn_rnk
2008,"Sohail Tanvir",6.70,265,1
2008,"SK Warne",5.45,319,2
2008,"S Sreesanth",5.34,332,3
2008,"MF Maharoof",5.09,226,4
2008,"PP Chawla",5.05,286,5
2009,"RP Singh",6.53,382,1
2009,"A Kumble",6.28,358,2
2009,"A Nehra",5.80,326,3
2009,"SL Malinga",5.62,326,4
2009,"MM Patel",5.56,218,5
2010,"PP Ojha",6.51,360,1
2010,"A Mishra",5.66,329,2
2010,"Harbhajan Singh",5.62,334,3
2010,"A Kumble",5.53,389,4
2010,"KA Pollard",5.51,233,5
2011,"SL Malinga",7.96,397,1
2011,"MM Patel",6.61,329,2
2011,"S Aravind",6.44,288,3
2011,"R Ashwin",6.03,385,4
2011,"A Mishra",5.89,324,5
2012,"SP Narine",6.92,357,1
2012,"M Morkel",6.71,389,2
2012,"SL Malinga",6.37,351,3
2012,"DW Steyn",5.70,289,4
2012,"UT Yadav",5.37,383,5
2013,"DJ Bravo",7.83,392,1
2013,"JP Faulkner",7.12,395,2
2013,"Harbhajan Singh",6.18,430,3
2013,"MG Johnson",6.18,403,4
2013,"SP Narine",6.10,387,5
2014,"MM Sharma",6.45,324,1
2014,"B Kumar",5.97,327,2
2014,"SP Narine",5.97,392,3
2014,"Sandeep Sharma",5.61,255,4
2014,"RA Jadeja",5.50,332,5
2015,"DJ Bravo",6.85,324,1
2015,"YS Chahal",6.32,283,2
2015,"SL Malinga",6.30,378,3
2015,"MA Starc",5.96,272,4
2015,"A Nehra",5.87,385,5
2016,"B Kumar",6.59,414,1
2016,"YS Chahal",6.44,308,2
2016,"SR Watson",5.93,360,3
2016,"DS Kulkarni",5.79,297,4
2016,"Mustafizur Rahman",5.33,376,5
2017,"B Kumar",7.12,324,1
2017,"JD Unadkat",6.91,279,2
2017,"P Negi",5.67,200,3
2017,"JJ Bumrah",5.53,373,4
2017,"Imran Tahir",5.34,286,5
2018,"AJ Tye",5.98,353,1
2018,"Rashid Khan",5.34,411,2
2018,"UT Yadav",5.26,331,3
2018,"S Kaul",5.14,402,4
2018,"HH Pandya",4.98,270,5
2019,"K Rabada",7.22,298,1
2019,"Imran Tahir",6.90,388,2
2019,"KK Ahmed",6.02,222,3
2019,"DL Chahar",5.91,400,4
2019,"S Gopal",5.90,289,5
2020,"K Rabada",7.72,414,1
2020,"JJ Bumrah",7.41,384,2
2020,"TA Boult",6.50,354,3
2020,"YS Chahal",5.77,348,4
2020,"Rashid Khan",5.75,391,5
2021,"HV Patel",8.17,361,1
2021,"Avesh Khan",6.35,383,2
2021,"JJ Bumrah",5.81,347,3
2021,"SN Thakur",5.56,388,4
2021,"Mohammed Shami",5.43,323,5
2022,"PWH de Silva",6.49,346,1
2022,"YS Chahal",6.39,429,2
2022,"K Rabada",5.98,303,3
2022,"Umran Malik",5.66,313,4
2022,"Kuldeep Yadav",5.53,306,5
